member_id,first_name,last_name,email,phone,date_of_birth,gender,join_date,membership_type,membership_status,fitness_goal,height_cm,weight_kg,emergency_contact
MEM000030,John,Martin,member30@fitnesshub.com,+1-555-473-1653,1999-12-22,Female,2022-05-30,Premium,Active,Weight Loss,167.7,89.2,+1-555-995-7658
MEM000031,Barbara,Thomas,member31@fitnesshub.com,+1-555-985-3662,1960-12-31,Male,2023-06-25,Student,Active,Muscle Gain,186.8,73.3,+1-555-521-5065
MEM000032,George,Miller,member32@fitnesshub.com,+1-555-491-1634,1997-12-22,Female,2021-06-30,Premium,Active,Athletic Performance,167.5,107.4,+1-555-992-4728
MEM000033,Brian,Gonzalez,member33@fitnesshub.com,+1-555-508-6378,2006-12-20,Female,2021-04-01,Basic,Active,General Fitness,182.1,78.0,+1-555-963-9785
MEM000034,Linda,Taylor,member34@fitnesshub.com,+1-555-282-5349,2006-12-20,Male,2021-11-09,Basic,Inactive,Athletic Performance,167.3,105.0,+1-555-546-9379
MEM000035,Andrew,Gonzalez,member35@fitnesshub.com,+1-555-360-1727,1983-12-26,Other,2020-08-24,Student,Active,Health Maintenance,196.3,87.7,+1-555-836-4228
MEM000036,Robert,Perez,member36@fitnesshub.com,+1-555-738-6143,1980-12-26,Other,2022-01-15,Basic,Active,Health Maintenance,165.5,78.6,+1-555-512-5844
MEM000037,Richard,Clark,member37@fitnesshub.com,+1-555-780-7211,1999-12-22,Other,2023-02-09,Premium,Inactive,Health Maintenance,165.0,88.4,+1-555-100-5978
MEM000038,Margaret,Nguyen,member38@fitnesshub.com,+1-555-721-6279,1994-12-23,Female,2021-08-10,Student,Inactive,Muscle Gain,175.6,105.6,+1-555-915-3780
MEM000039,Charles,Allen,member39@fitnesshub.com,+1-555-779-6491,2002-12-21,Male,2023-09-11,Premium,Active,Muscle Gain,190.3,60.3,+1-555-147-5011
MEM000040,Robert,Robinson,member40@fitnesshub.com,+1-555-524-4185,1968-12-29,Other,2022-08-31,Student,Inactive,Athletic Performance,162.2,95.9,+1-555-105-2746
MEM000041,Joseph,Lopez,member41@fitnesshub.com,+1-555-923-9486,1980-12-26,Female,2024-05-13,Basic,Inactive,Muscle Gain,195.9,58.5,+1-555-236-8612
MEM000042,Emily,Hill,member42@fitnesshub.com,+1-555-424-8251,1974-12-28,Other,2023-09-29,Senior,Active,Health Maintenance,172.3,61.1,+1-555-982-8777
MEM000043,Jessica,Moore,member43@fitnesshub.com,+1-555-884-9540,1991-12-24,Female,2022-07-10,Premium,Active,Athletic Performance,153.9,70.0,+1-555-378-6502
MEM000044,Paul,Garcia,member44@fitnesshub.com,+1-555-241-3471,1951-01-03,Male,2021-10-16,Student,Active,Muscle Gain,153.2,78.5,+1-555-655-8633
MEM000045,Susan,Clark,member45@fitnesshub.com,+1-555-498-1320,2004-12-20,Other,2022-05-01,Student,Inactive,Weight Loss,197.1,70.9,+1-555-499-7865
MEM000046,Deborah,Wright,member46@fitnesshub.com,+1-555-919-4613,1960-12-31,Female,2023-01-07,Premium,Active,Athletic Performance,174.3,77.2,+1-555-784-7624
MEM000047,Sandra,Rodriguez,member47@fitnesshub.com,+1-555-737-9751,1997-12-22,Male,2024-01-23,Student,Inactive,Health Maintenance,183.1,55.9,+1-555-538-3223
MEM000048,Elizabeth,Brown,member48@fitnesshub.com,+1-555-366-7211,1978-12-27,Female,2024-11-10,Premium,Inactive,General Fitness,166.9,111.6,+1-555-384-7906
MEM000049,Jennifer,Walker,member49@fitnesshub.com,+1-555-119-9837,1955-01-02,Male,2021-05-31,Elite,Active,Weight Loss,189.1,95.6,+1-555-872-1508
MEM000050,Mary,Flores,member50@fitnesshub.com,+1-555-256-4908,1995-12-23,Male,2021-05-21,Student,Active,Health Maintenance,197.4,82.6,+1-555-362-7043
MEM000051,Joshua,Davis,member51@fitnesshub.com,+1-555-896-3683,1969-12-29,Female,2020-12-09,Basic,Inactive,Weight Loss,196.4,90.3,+1-555-484-7498
MEM000052,Robert,Nguyen,member52@fitnesshub.com,+1-555-807-4978,1995-12-23,Male,2024-01-04,Elite,Inactive,Weight Loss,189.8,89.6,+1-555-142-6688
MEM000053,Brian,White,member53@fitnesshub.com,+1-555-170-9289,1980-12-26,Other,2022-12-27,Elite,Active,Athletic Performance,191.1,57.4,+1-555-470-8532
MEM000054,Margaret,Lopez,member54@fitnesshub.com,+1-555-851-9548,1998-12-22,Other,2023-12-19,Elite,Inactive,Health Maintenance,188.7,82.5,+1-555-945-5397
MEM000055,Jessica,Garcia,member55@fitnesshub.com,+1-555-385-8385,1954-01-02,Male,2021-10-22,Student,Inactive,Health Maintenance,183.4,73.5,+1-555-606-6325
MEM000056,Susan,Thompson,member56@fitnesshub.com,+1-555-916-5232,1976-12-27,Female,2021-01-07,Elite,Inactive,General Fitness,177.8,86.2,+1-555-295-2402
MEM000057,Anthony,Young,member57@fitnesshub.com,+1-555-668-4937,1961-12-31,Other,2021-05-09,Student,Inactive,Athletic Performance,189.6,56.5,+1-555-326-7625
MEM000058,Karen,Nguyen,member58@fitnesshub.com,+1-555-477-8753,1992-12-23,Other,2023-11-17,Senior,Active,Athletic Performance,199.8,88.5,+1-555-460-8434
MEM000059,Thomas,Anderson,member59@fitnesshub.com,+1-555-223-4155,1988-12-24,Female,2021-07-08,Basic,Inactive,Muscle Gain,159.6,101.7,+1-555-383-9595
MEM000060,Michael,Gonzalez,member60@fitnesshub.com,+1-555-403-4727,1989-12-24,Female,2023-05-07,Premium,Active,Weight Loss,185.4,58.9,+1-555-146-1893
MEM000061,George,Rodriguez,member61@fitnesshub.com,+1-555-753-9042,1989-12-24,Male,2023-02-07,Basic,Inactive,General Fitness,173.5,80.8,+1-555-288-1841
MEM000062,Donald,Davis,member62@fitnesshub.com,+1-555-941-2070,1953-01-02,Female,2021-06-01,Student,Active,Health Maintenance,181.5,53.8,+1-555-252-5978
MEM000063,Linda,Scott,member63@fitnesshub.com,+1-555-882-7818,1992-12-23,Other,2020-06-23,Senior,Inactive,Muscle Gain,188.8,76.6,+1-555-553-5871
MEM000064,Margaret,Martin,member64@fitnesshub.com,+1-555-682-1986,1970-12-29,Other,2024-10-27,Basic,Active,Muscle Gain,163.2,55.7,+1-555-345-3847
MEM000065,David,Smith,member65@fitnesshub.com,+1-555-518-8381,2003-12-21,Other,2023-02-04,Senior,Inactive,General Fitness,151.6,70.2,+1-555-389-8438
MEM000066,Joseph,Taylor,member66@fitnesshub.com,+1-555-906-4241,1964-12-30,Female,2020-05-25,Basic,Inactive,Muscle Gain,182.4,113.6,+1-555-946-3330
MEM000067,David,Martin,member67@fitnesshub.com,+1-555-709-5728,2004-12-20,Female,2020-05-26,Basic,Inactive,General Fitness,185.0,116.0,+1-555-612-9847
MEM000068,Jennifer,Hill,member68@fitnesshub.com,+1-555-140-8078,1979-12-27,Other,2022-10-08,Elite,Inactive,General Fitness,151.3,66.0,+1-555-790-1339
MEM000069,Sarah,Torres,member69@fitnesshub.com,+1-555-141-3870,1964-12-30,Female,2024-04-15,Senior,Inactive,General Fitness,159.1,91.0,+1-555-750-9056
MEM000070,Daniel,Clark,member70@fitnesshub.com,+1-555-441-6260,1977-12-27,Other,2020-07-05,Basic,Active,General Fitness,170.6,84.7,+1-555-778-7561
MEM000071,Emily,Williams,member71@fitnesshub.com,+1-555-565-2442,1960-01-01,Female,2024-07-24,Elite,Active,Weight Loss,198.5,78.3,+1-555-626-1018
MEM000072,Paul,Robinson,member72@fitnesshub.com,+1-555-523-1888,1953-01-02,Male,2023-09-08,Senior,Active,Health Maintenance,187.8,93.8,+1-555-878-1845
MEM000073,Emily,Rodriguez,member73@fitnesshub.com,+1-555-394-8178,1990-12-24,Other,2021-02-20,Student,Active,Weight Loss,198.7,92.6,+1-555-345-3594
MEM000074,James,Scott,member74@fitnesshub.com,+1-555-517-2527,1972-12-28,Male,2021-09-28,Basic,Inactive,Weight Loss,182.4,60.8,+1-555-833-5781
MEM000075,Sarah,Clark,member75@fitnesshub.com,+1-555-954-8905,1962-12-31,Female,2022-11-08,Premium,Inactive,Health Maintenance,157.2,63.3,+1-555-713-9327
MEM000076,William,Jones,member76@fitnesshub.com,+1-555-382-7798,1952-01-03,Female,2024-03-08,Senior,Active,Weight Loss,164.1,70.9,+1-555-701-9022
MEM000077,Mark,Wright,member77@fitnesshub.com,+1-555-595-6654,1998-12-22,Female,2024-11-07,Senior,Inactive,Athletic Performance,172.8,72.5,+1-555-293-4912
MEM000078,Joseph,Clark,member78@fitnesshub.com,+1-555-144-6213,1983-12-26,Other,2023-03-17,Student,Active,Athletic Performance,199.4,105.5,+1-555-767-3492
MEM000079,William,Allen,member79@fitnesshub.com,+1-555-704-6439,2005-12-20,Male,2022-10-11,Student,Active,Health Maintenance,195.5,51.1,+1-555-247-7717
MEM000080,Barbara,Jones,member80@fitnesshub.com,+1-555-580-5342,1966-12-30,Female,2024-11-18,Senior,Active,Weight Loss,192.6,109.7,+1-555-979-9742
MEM000081,Kevin,Young,member81@fitnesshub.com,+1-555-993-9864,1987-12-25,Male,2022-02-17,Senior,Active,Muscle Gain,181.6,114.5,+1-555-332-2480
MEM000082,Kevin,Miller,member82@fitnesshub.com,+1-555-554-3725,2001-12-21,Other,2022-06-07,Elite,Active,Weight Loss,166.2,53.9,+1-555-467-7141
MEM000083,Jessica,King,member83@fitnesshub.com,+1-555-521-3950,1998-12-22,Male,2022-06-01,Premium,Active,Health Maintenance,193.5,93.4,+1-555-346-9153
MEM000084,Joseph,Robinson,member84@fitnesshub.com,+1-555-753-5161,1998-12-22,Female,2023-04-09,Elite,Active,Athletic Performance,195.1,97.4,+1-555-261-2210
MEM000085,Donna,Martin,member85@fitnesshub.com,+1-555-754-7951,1985-12-25,Other,2022-06-23,Elite,Inactive,General Fitness,160.0,76.9,+1-555-594-2747
MEM000086,Andrew,Thompson,member86@fitnesshub.com,+1-555-688-5847,1983-12-26,Other,2021-04-30,Elite,Active,Athletic Performance,163.7,89.6,+1-555-802-1803
MEM000087,Ashley,Jackson,member87@fitnesshub.com,+1-555-894-4770,1960-12-31,Other,2023-05-26,Elite,Active,Muscle Gain,181.0,97.4,+1-555-838-3240
MEM000088,Kevin,Williams,member88@fitnesshub.com,+1-555-416-8222,2001-12-21,Male,2023-07-10,Senior,Active,Muscle Gain,154.5,70.7,+1-555-865-7807
MEM000089,William,Wright,member89@fitnesshub.com,+1-555-997-6994,1995-12-23,Other,2020-12-25,Senior,Active,Muscle Gain,162.8,107.7,+1-555-593-5835
MEM000090,Nancy,Davis,member90@fitnesshub.com,+1-555-579-2233,1953-01-02,Male,2024-03-08,Premium,Active,Health Maintenance,168.3,105.3,+1-555-114-5332
MEM000091,Sandra,White,member91@fitnesshub.com,+1-555-788-5295,2000-12-21,Other,2023-01-03,Student,Active,Weight Loss,183.7,83.0,+1-555-734-6374
MEM000092,Carol,Jones,member92@fitnesshub.com,+1-555-750-8606,1993-12-23,Other,2023-06-03,Elite,Active,Weight Loss,157.0,116.2,+1-555-411-9071
MEM000093,Jessica,Wright,member93@fitnesshub.com,+1-555-238-7367,2001-12-21,Female,2020-08-25,Elite,Inactive,Athletic Performance,179.4,100.9,+1-555-524-2622
MEM000094,Michelle,Clark,member94@fitnesshub.com,+1-555-386-1536,1976-12-27,Other,2024-09-03,Elite,Active,Athletic Performance,172.2,66.5,+1-555-471-2627
MEM000095,Paul,Thompson,member95@fitnesshub.com,+1-555-162-7523,1984-12-25,Female,2023-11-05,Premium,Active,Athletic Performance,154.6,64.8,+1-555-754-1349
MEM000096,Nancy,Thomas,member96@fitnesshub.com,+1-555-228-4362,1958-01-01,Male,2020-04-13,Senior,Active,Health Maintenance,160.8,110.9,+1-555-436-3417
MEM000097,Joshua,Smith,member97@fitnesshub.com,+1-555-383-3370,1951-01-03,Male,2024-06-03,Senior,Active,Muscle Gain,155.5,110.7,+1-555-234-1243
MEM000098,Jessica,Nguyen,member98@fitnesshub.com,+1-555-431-1258,1958-01-01,Male,2022-01-03,Elite,Active,Muscle Gain,187.1,86.8,+1-555-863-2041
MEM000099,Lisa,Allen,member99@fitnesshub.com,+1-555-707-2786,1979-12-27,Female,2022-09-02,Senior,Active,Health Maintenance,152.2,104.8,+1-555-987-9543
MEM000100,Carol,Johnson,member100@fitnesshub.com,+1-555-162-8847,1978-12-27,Female,2021-09-09,Student,Active,Athletic Performance,185.6,81.0,+1-555-182-6277
MEM000101,Robert,Rodriguez,member101@fitnesshub.com,+1-555-381-9984,1998-12-22,Other,2023-05-30,Elite,Active,Health Maintenance,176.5,81.8,+1-555-719-8048
MEM000102,George,Davis,member102@fitnesshub.com,+1-555-973-4522,1958-01-01,Female,2020-07-22,Student,Active,Athletic Performance,166.9,81.7,+1-555-525-2557
MEM000103,Christopher,Taylor,member103@fitnesshub.com,+1-555-483-3500,1980-12-26,Other,2021-10-02,Student,Active,Weight Loss,191.6,56.5,+1-555-198-7105
MEM000104,Emily,Brown,member104@fitnesshub.com,+1-555-700-6400,1999-12-22,Other,2024-07-20,Basic,Active,General Fitness,193.7,115.9,+1-555-533-1842
MEM000105,Karen,Thompson,member105@fitnesshub.com,+1-555-206-9313,1969-12-29,Male,2021-08-12,Premium,Inactive,Muscle Gain,192.4,74.5,+1-555-669-7022
MEM000106,Sarah,Torres,member106@fitnesshub.com,+1-555-331-8030,1960-01-01,Other,2020-08-23,Senior,Inactive,Health Maintenance,151.3,115.0,+1-555-949-5381
MEM000107,Sarah,Martin,member107@fitnesshub.com,+1-555-447-6751,1996-12-22,Male,2020-02-29,Premium,Active,Health Maintenance,182.9,54.9,+1-555-858-1502
MEM000108,Kimberly,Wilson,member108@fitnesshub.com,+1-555-485-7878,1960-12-31,Female,2020-07-06,Elite,Active,General Fitness,165.6,72.7,+1-555-681-2391
MEM000109,David,Flores,member109@fitnesshub.com,+1-555-150-2336,1998-12-22,Female,2020-04-17,Student,Active,Athletic Performance,180.4,79.0,+1-555-320-9394
MEM000110,Margaret,Davis,member110@fitnesshub.com,+1-555-390-8972,1985-12-25,Other,2020-08-21,Elite,Active,Muscle Gain,169.8,92.0,+1-555-107-4349
MEM000111,William,Taylor,member111@fitnesshub.com,+1-555-396-6375,1994-12-23,Male,2021-09-09,Basic,Inactive,Athletic Performance,158.8,76.6,+1-555-820-4770
MEM000112,Brian,Thompson,member112@fitnesshub.com,+1-555-173-7505,1972-12-28,Other,2022-10-21,Basic,Active,Weight Loss,173.0,55.5,+1-555-420-8033
MEM000113,Melissa,Clark,member113@fitnesshub.com,+1-555-396-2887,1982-12-26,Female,2023-03-20,Basic,Active,Muscle Gain,190.1,93.3,+1-555-951-6928
MEM000114,Michael,Thomas,member114@fitnesshub.com,+1-555-546-7560,1980-12-26,Other,2020-06-29,Basic,Active,General Fitness,187.3,65.5,+1-555-897-3754
MEM000115,Kevin,Davis,member115@fitnesshub.com,+1-555-643-9355,1975-12-28,Male,2020-06-05,Elite,Active,Muscle Gain,161.8,60.3,+1-555-302-3842
MEM000116,Carol,Jones,member116@fitnesshub.com,+1-555-281-9095,1998-12-22,Female,2023-05-18,Senior,Inactive,Athletic Performance,184.1,111.7,+1-555-758-6295
MEM000117,Christopher,Martinez,member117@fitnesshub.com,+1-555-550-2118,1967-12-30,Female,2024-11-04,Student,Active,General Fitness,179.6,74.6,+1-555-175-6085
MEM000118,John,Brown,member118@fitnesshub.com,+1-555-477-5703,1979-12-27,Male,2022-08-03,Basic,Inactive,Health Maintenance,175.4,82.4,+1-555-667-1672
MEM000119,Andrew,Gonzalez,member119@fitnesshub.com,+1-555-429-8792,1957-01-01,Other,2022-07-10,Premium,Active,Athletic Performance,155.2,112.9,+1-555-451-2381
MEM000120,Elizabeth,Williams,member120@fitnesshub.com,+1-555-353-8172,1966-12-30,Female,2022-10-30,Senior,Inactive,Health Maintenance,157.9,76.1,+1-555-389-7347
MEM000121,Nancy,Hill,member121@fitnesshub.com,+1-555-153-6482,1959-01-01,Male,2022-04-17,Elite,Active,Health Maintenance,183.9,69.9,+1-555-841-3463
MEM000122,Donna,Martinez,member122@fitnesshub.com,+1-555-458-6082,2002-12-21,Other,2021-11-13,Student,Active,Health Maintenance,185.4,55.9,+1-555-672-7171
MEM000123,Nancy,Rodriguez,member123@fitnesshub.com,+1-555-786-9624,1958-01-01,Male,2023-08-10,Student,Inactive,General Fitness,150.9,71.6,+1-555-319-6598
MEM000124,Richard,Anderson,member124@fitnesshub.com,+1-555-240-3538,1976-12-27,Male,2024-04-18,Elite,Active,Health Maintenance,188.5,108.5,+1-555-639-1618
MEM000125,Michelle,Rodriguez,member125@fitnesshub.com,+1-555-711-7172,1986-12-25,Male,2023-09-17,Premium,Active,Health Maintenance,190.5,61.6,+1-555-548-1715
MEM000126,Amanda,Thomas,member126@fitnesshub.com,+1-555-554-5668,1984-12-25,Other,2022-04-21,Student,Active,Health Maintenance,162.0,117.6,+1-555-903-8684
MEM000127,Lisa,Torres,member127@fitnesshub.com,+1-555-551-8564,1995-12-23,Female,2024-09-06,Student,Inactive,Health Maintenance,170.9,61.3,+1-555-304-3267
MEM000128,Patricia,Walker,member128@fitnesshub.com,+1-555-995-7081,1991-12-24,Other,2024-11-22,Basic,Inactive,Weight Loss,164.3,103.4,+1-555-379-8361
MEM000129,Margaret,Garcia,member129@fitnesshub.com,+1-555-327-8391,1998-12-22,Female,2022-11-17,Basic,Active,Weight Loss,169.8,76.2,+1-555-495-2337
MEM000130,Mary,Lee,member130@fitnesshub.com,+1-555-201-6493,1993-12-23,Male,2022-02-06,Premium,Active,General Fitness,195.9,83.1,+1-555-951-3273
MEM000131,Donald,Lewis,member131@fitnesshub.com,+1-555-730-1086,1962-12-31,Male,2024-04-03,Basic,Active,Muscle Gain,191.7,88.4,+1-555-844-9647
MEM000132,Charles,Thomas,member132@fitnesshub.com,+1-555-408-2996,2000-12-21,Male,2022-05-16,Premium,Active,Health Maintenance,172.9,57.8,+1-555-611-9782
MEM000133,Steven,Torres,member133@fitnesshub.com,+1-555-347-3352,1967-12-30,Female,2020-02-03,Student,Active,Health Maintenance,167.6,89.9,+1-555-291-2402
MEM000134,Robert,King,member134@fitnesshub.com,+1-555-657-9312,1984-12-25,Other,2022-12-08,Senior,Active,Athletic Performance,193.7,53.0,+1-555-496-7116
MEM000135,Mary,Thompson,member135@fitnesshub.com,+1-555-907-2106,1960-12-31,Female,2021-06-03,Premium,Active,Health Maintenance,186.8,73.3,+1-555-145-6772
MEM000136,Carol,Lopez,member136@fitnesshub.com,+1-555-950-8612,1986-12-25,Other,2023-01-23,Student,Active,Muscle Gain,153.2,104.3,+1-555-568-1605
MEM000137,John,Gonzalez,member137@fitnesshub.com,+1-555-142-6170,1995-12-23,Female,2021-08-23,Senior,Active,Health Maintenance,173.7,52.6,+1-555-762-4131
MEM000138,Patricia,Perez,member138@fitnesshub.com,+1-555-379-3039,1985-12-25,Female,2021-08-08,Student,Active,Athletic Performance,194.7,77.1,+1-555-291-9129
MEM000139,Lisa,King,member139@fitnesshub.com,+1-555-373-2353,1976-12-27,Other,2023-11-18,Student,Active,Athletic Performance,180.1,107.6,+1-555-658-5813
MEM000140,Jennifer,Lee,member140@fitnesshub.com,+1-555-776-5843,2001-12-21,Female,2021-10-19,Student,Inactive,Athletic Performance,158.3,81.1,+1-555-557-1693
MEM000141,Daniel,Flores,member141@fitnesshub.com,+1-555-545-5498,1953-01-02,Other,2024-01-28,Basic,Active,Athletic Performance,168.2,106.1,+1-555-795-3621
MEM000142,Joshua,Lewis,member142@fitnesshub.com,+1-555-135-3068,1998-12-22,Male,2020-03-04,Premium,Active,General Fitness,169.1,89.7,+1-555-719-3513
MEM000143,Lisa,White,member143@fitnesshub.com,+1-555-554-2259,1979-12-27,Other,2023-10-22,Premium,Inactive,General Fitness,169.9,95.5,+1-555-355-2858
MEM000144,Elizabeth,Young,member144@fitnesshub.com,+1-555-630-7340,1960-12-31,Other,2020-02-23,Basic,Active,General Fitness,185.2,65.0,+1-555-726-5678
MEM000145,Richard,Davis,member145@fitnesshub.com,+1-555-238-2213,1976-12-27,Female,2023-11-22,Premium,Inactive,Weight Loss,190.5,117.7,+1-555-427-6692
MEM000146,Emily,Wright,member146@fitnesshub.com,+1-555-397-5914,2003-12-21,Male,2023-12-24,Premium,Active,Health Maintenance,161.2,119.0,+1-555-911-3275
MEM000147,Ashley,Johnson,member147@fitnesshub.com,+1-555-469-7044,1958-01-01,Female,2021-04-29,Senior,Active,Health Maintenance,194.2,54.6,+1-555-507-8842
MEM000148,Anthony,Torres,member148@fitnesshub.com,+1-555-175-3053,1981-12-26,Female,2022-12-12,Basic,Inactive,Athletic Performance,184.0,74.1,+1-555-999-3981
MEM000149,Margaret,Allen,member149@fitnesshub.com,+1-555-989-1907,1999-12-22,Male,2024-04-21,Senior,Active,General Fitness,158.2,72.6,+1-555-826-4694
MEM000150,Charles,Garcia,member150@fitnesshub.com,+1-555-356-4216,1974-12-28,Other,2021-12-09,Senior,Active,Muscle Gain,181.3,93.0,+1-555-195-9234
MEM000151,Donna,Nguyen,member151@fitnesshub.com,+1-555-257-3804,1997-12-22,Other,2023-08-05,Senior,Inactive,General Fitness,192.1,89.5,+1-555-945-1464
MEM000152,Carol,Torres,member152@fitnesshub.com,+1-555-371-4453,2005-12-20,Other,2020-06-15,Student,Inactive,Weight Loss,174.9,93.9,+1-555-396-5949
MEM000153,Amanda,Sanchez,member153@fitnesshub.com,+1-555-404-8430,1992-12-23,Male,2022-09-16,Basic,Active,Athletic Performance,170.8,82.5,+1-555-448-3353
MEM000154,Melissa,Lee,member154@fitnesshub.com,+1-555-851-6658,1953-01-02,Female,2021-10-02,Premium,Active,Health Maintenance,178.1,72.3,+1-555-577-3007
MEM000155,Jessica,Martinez,member155@fitnesshub.com,+1-555-199-1829,1979-12-27,Female,2021-07-01,Student,Inactive,Athletic Performance,162.4,110.6,+1-555-263-6364
MEM000156,Christopher,Gonzalez,member156@fitnesshub.com,+1-555-881-3610,1961-12-31,Female,2023-03-29,Senior,Inactive,Athletic Performance,194.0,84.8,+1-555-192-7442
MEM000157,Jessica,Wilson,member157@fitnesshub.com,+1-555-697-6781,1978-12-27,Male,2022-11-01,Basic,Active,Athletic Performance,179.9,109.0,+1-555-788-8710
MEM000158,James,Miller,member158@fitnesshub.com,+1-555-541-3194,1973-12-28,Female,2021-08-08,Elite,Active,General Fitness,152.3,53.6,+1-555-675-4189
MEM000159,Charles,Jones,member159@fitnesshub.com,+1-555-495-9261,1972-12-28,Female,2022-01-12,Senior,Active,Health Maintenance,184.0,58.3,+1-555-199-7453
